code,description
Q38.8,Other congenital malformations of pharynx
Q39.0,Atresia of esophagus without fistula
Q39.1,Atresia of esophagus with tracheo-esophageal fistula
Q39.2,Congenital tracheo-esophageal fistula without atresia
Q39.3,Congenital stenosis and stricture of esophagus
Q39.4,Esophageal web
Q39.5,Congenital dilatation of esophagus
Q39.6,Congenital diverticulum of esophagus
Q39.8,Other congenital malformations of esophagus
Q39.9,"""Congenital malformation of esophagus, unspecified"""
Q40.0,Congenital hypertrophic pyloric stenosis
Q40.1,Congenital hiatus hernia
Q40.2,Other specified congenital malformations of stomach
Q40.3,"""Congenital malformation of stomach, unspecified"""
Q40.8,Other specified congenital malformations of upper alimentary tract
Q40.9,"""Congenital malformation of upper alimentary tract, unspecified"""
Q41.0,"""Congenital absence, atresia and stenosis of duodenum"""
Q41.1,"""Congenital absence, atresia and stenosis of jejunum"""
Q41.2,"""Congenital absence, atresia and stenosis of ileum"""
Q41.8,"""Congenital absence, atresia and stenosis of other specified parts of small intestine"""
Q41.9,"""Congenital absence, atresia and stenosis of small intestine, part unspecified"""
Q42.0,"""Congenital absence, atresia and stenosis of rectum with fistula"""
Q42.1,"""Congenital absence, atresia and stenosis of rectum without fistula"""
Q42.2,"""Congenital absence, atresia and stenosis of anus with fistula"""
Q42.3,"""Congenital absence, atresia and stenosis of anus without fistula"""
Q42.8,"""Congenital absence, atresia and stenosis of other parts of large intestine"""
Q42.9,"""Congenital absence, atresia and stenosis of large intestine, part unspecified"""
Q43.0,Meckel's diverticulum (displaced) (hypertrophic)
Q43.1,Hirschsprung's disease
Q43.2,Other congenital functional disorders of colon
Q43.3,Congenital malformations of intestinal fixation
Q43.4,Duplication of intestine
Q43.5,Ectopic anus
Q43.6,Congenital fistula of rectum and anus
Q43.7,Persistent cloaca
Q43.8,Other specified congenital malformations of intestine
Q43.9,"""Congenital malformation of intestine, unspecified"""
Q44.0,"""Agenesis, aplasia and hypoplasia of gallbladder"""
Q44.1,Other congenital malformations of gallbladder
Q44.2,Atresia of bile ducts
Q44.3,Congenital stenosis and stricture of bile ducts
Q44.4,Choledochal cyst
Q44.5,Other congenital malformations of bile ducts
Q44.6,Cystic disease of liver
Q44.70,"""Other congenital malformation of liver, unspecified"""
Q44.71,Alagille syndrome
Q44.79,Other congenital malformations of liver
Q45.0,"""Agenesis, aplasia and hypoplasia of pancreas"""
Q45.1,Annular pancreas
Q45.2,Congenital pancreatic cyst
Q45.3,Other congenital malformations of pancreas and pancreatic duct
Q45.8,Other specified congenital malformations of digestive system
Q45.9,"""Congenital malformation of digestive system, unspecified"""
Q50.01,"""Congenital absence of ovary, unilateral"""
Q50.02,"""Congenital absence of ovary, bilateral"""
Q50.1,Developmental ovarian cyst
Q50.2,Congenital torsion of ovary
Q50.31,Accessory ovary
Q50.32,Ovarian streak
Q50.39,Other congenital malformation of ovary
Q50.4,Embryonic cyst of fallopian tube
Q50.5,Embryonic cyst of broad ligament
Q50.6,Other congenital malformations of fallopian tube and broad ligament
Q51.0,Agenesis and aplasia of uterus
Q51.10,Doubling of uterus with doubling of cervix and vagina without obstruction
Q51.11,Doubling of uterus with doubling of cervix and vagina with obstruction
Q51.21,Complete doubling of uterus
Q51.22,Partial doubling of uterus
Q51.28,Other and unspecified doubling of uterus
Q51.3,Bicornate uterus
Q51.4,Unicornate uterus
Q51.5,Agenesis and aplasia of cervix
Q51.6,Embryonic cyst of cervix
Q51.7,Congenital fistulae between uterus and digestive and urinary tracts
Q51.810,Arcuate uterus
Q51.811,Hypoplasia of uterus
Q51.818,Other congenital malformations of uterus
Q51.820,Cervical duplication
Q51.821,Hypoplasia of cervix
Q51.828,Other congenital malformations of cervix
Q51.9,"""Congenital malformation of uterus and cervix, unspecified"""
Q52.0,Congenital absence of vagina
Q52.10,"""Doubling of vagina, unspecified"""
Q52.11,Transverse vaginal septum
Q52.120,"""Longitudinal vaginal septum, nonobstructing"""
Q52.121,"""Longitudinal vaginal septum, obstructing, right side"""
Q52.122,"""Longitudinal vaginal septum, obstructing, left side"""
Q52.123,"""Longitudinal vaginal septum, microperforate, right side"""
Q52.124,"""Longitudinal vaginal septum, microperforate, left side"""
Q52.129,Other and unspecified longitudinal vaginal septum
Q52.2,Congenital rectovaginal fistula
Q52.3,Imperforate hymen
Q52.4,Other congenital malformations of vagina
Q52.5,Fusion of labia
Q52.6,Congenital malformation of clitoris
Q52.70,Unspecified congenital malformations of vulva
Q52.71,Congenital absence of vulva
Q52.79,Other congenital malformations of vulva
Q52.8,Other specified congenital malformations of female genitalia
Q52.9,"""Congenital malformation of female genitalia, unspecified"""
Q53.00,"""Ectopic testis, unspecified"""
Q53.01,"""Ectopic testis, unilateral"""
Q53.02,"""Ectopic testes, bilateral"""
Q53.10,"""Unspecified undescended testicle, unilateral"""
Q53.111,Unilateral intraabdominal testis
Q53.112,Unilateral inguinal testis
Q53.12,"""Ectopic perineal testis, unilateral"""
Q53.13,Unilateral high scrotal testis
Q53.20,"""Undescended testicle, unspecified, bilateral"""
Q53.211,Bilateral intraabdominal testes
Q53.212,Bilateral inguinal testes
Q53.22,"""Ectopic perineal testis, bilateral"""
Q53.23,Bilateral high scrotal testes
Q53.9,"""Undescended testicle, unspecified"""
Q54.0,"""Hypospadias, balanic"""
Q54.1,"""Hypospadias, penile"""
Q54.2,"""Hypospadias, penoscrotal"""
Q54.3,"""Hypospadias, perineal"""
Q54.4,Congenital chordee
Q54.8,Other hypospadias
Q54.9,"""Hypospadias, unspecified"""
Q55.0,Absence and aplasia of testis
Q55.1,Hypoplasia of testis and scrotum
Q55.20,Unspecified congenital malformations of testis and scrotum
Q55.21,Polyorchism
Q55.22,Retractile testis
Q55.23,Scrotal transposition
Q55.29,Other congenital malformations of testis and scrotum
Q55.3,Atresia of vas deferens
Q55.4,"""Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate"""
Q55.5,Congenital absence and aplasia of penis
Q55.61,Curvature of penis (lateral)
Q55.62,Hypoplasia of penis
Q55.63,Congenital torsion of penis
Q55.64,Hidden penis
Q55.69,Other congenital malformation of penis
Q55.7,Congenital vasocutaneous fistula
Q55.8,Other specified congenital malformations of male genital organs
Q55.9,"""Congenital malformation of male genital organ, unspecified"""
Q56.0,"""Hermaphroditism, not elsewhere classified"""
Q56.1,"""Male pseudohermaphroditism, not elsewhere classified"""
Q56.2,"""Female pseudohermaphroditism, not elsewhere classified"""
Q56.3,"""Pseudohermaphroditism, unspecified"""
Q56.4,"""Indeterminate sex, unspecified"""
Q60.0,"""Renal agenesis, unilateral"""
Q60.1,"""Renal agenesis, bilateral"""
Q60.2,"""Renal agenesis, unspecified"""
Q60.3,"""Renal hypoplasia, unilateral"""
Q60.4,"""Renal hypoplasia, bilateral"""
Q60.5,"""Renal hypoplasia, unspecified"""
Q60.6,Potter's syndrome
Q61.00,"""Congenital renal cyst, unspecified"""
Q61.01,Congenital single renal cyst
Q61.02,Congenital multiple renal cysts
Q61.11,Cystic dilatation of collecting ducts
Q61.19,"""Other polycystic kidney, infantile type"""
Q61.2,"""Polycystic kidney, adult type"""
Q61.3,"""Polycystic kidney, unspecified"""
Q61.4,Renal dysplasia
Q61.5,Medullary cystic kidney
Q61.8,Other cystic kidney diseases
Q61.9,"""Cystic kidney disease, unspecified"""
Q62.0,Congenital hydronephrosis
Q62.10,"""Congenital occlusion of ureter, unspecified"""
Q62.11,Congenital occlusion of ureteropelvic junction
Q62.12,Congenital occlusion of ureterovesical orifice
Q62.2,Congenital megaureter
Q62.31,"""Congenital ureterocele, orthotopic"""
Q62.32,Cecoureterocele
Q62.39,Other obstructive defects of renal pelvis and ureter
Q62.4,Agenesis of ureter
Q62.5,Duplication of ureter
Q62.60,"""Malposition of ureter, unspecified"""
Q62.61,Deviation of ureter
Q62.62,Displacement of ureter
Q62.63,Anomalous implantation of ureter
Q62.69,Other malposition of ureter
Q62.7,Congenital vesico-uretero-renal reflux
Q62.8,Other congenital malformations of ureter
Q63.0,Accessory kidney
Q63.1,"""Lobulated, fused and horseshoe kidney"""
Q63.2,Ectopic kidney
Q63.3,Hyperplastic and giant kidney
Q63.8,Other specified congenital malformations of kidney
Q63.9,"""Congenital malformation of kidney, unspecified"""
Q64.0,Epispadias
Q64.10,"""Exstrophy of urinary bladder, unspecified"""
Q64.11,Supravesical fissure of urinary bladder
Q64.12,Cloacal exstrophy of urinary bladder
Q64.19,Other exstrophy of urinary bladder
Q64.2,Congenital posterior urethral valves
Q64.31,Congenital bladder neck obstruction
Q64.32,Congenital stricture of urethra
Q64.33,Congenital stricture of urinary meatus
Q64.39,Other atresia and stenosis of urethra and bladder neck
Q64.4,Malformation of urachus
Q64.5,Congenital absence of bladder and urethra
Q64.6,Congenital diverticulum of bladder
Q64.70,Unspecified congenital malformation of bladder and urethra
Q64.71,Congenital prolapse of urethra
Q64.72,Congenital prolapse of urinary meatus
Q64.73,Congenital urethrorectal fistula
Q64.74,Double urethra
Q64.75,Double urinary meatus
Q64.79,Other congenital malformations of bladder and urethra
Q64.8,Other specified congenital malformations of urinary system
Q64.9,"""Congenital malformation of urinary system, unspecified"""
Q65.00,"""Congenital dislocation of unspecified hip, unilateral"""
Q65.01,"""Congenital dislocation of right hip, unilateral"""
Q65.02,"""Congenital dislocation of left hip, unilateral"""
Q65.1,"""Congenital dislocation of hip, bilateral"""
Q65.2,"""Congenital dislocation of hip, unspecified"""
Q65.30,"""Congenital partial dislocation of unspecified hip, unilateral"""
Q65.31,"""Congenital partial dislocation of right hip, unilateral"""
Q65.32,"""Congenital partial dislocation of left hip, unilateral"""
Q65.4,"""Congenital partial dislocation of hip, bilateral"""
Q65.5,"""Congenital partial dislocation of hip, unspecified"""
Q65.6,Congenital unstable hip
Q65.81,Congenital coxa valga
Q65.82,Congenital coxa vara
Q65.89,Other specified congenital deformities of hip
Q65.9,"""Congenital deformity of hip, unspecified"""
Q66.00,"""Congenital talipes equinovarus, unspecified foot"""
Q66.01,"""Congenital talipes equinovarus, right foot"""
Q66.02,"""Congenital talipes equinovarus, left foot"""
Q66.10,"""Congenital talipes calcaneovarus, unspecified foot"""
Q66.11,"""Congenital talipes calcaneovarus, right foot"""
Q66.12,"""Congenital talipes calcaneovarus, left foot"""
Q66.211,"""Congenital metatarsus primus varus, right foot"""
Q66.212,"""Congenital metatarsus primus varus, left foot"""
Q66.219,"""Congenital metatarsus primus varus, unspecified foot"""
Q66.221,"""Congenital metatarsus adductus, right foot"""
Q66.222,"""Congenital metatarsus adductus, left foot"""
Q66.229,"""Congenital metatarsus adductus, unspecified foot"""
Q66.30,"""Other congenital varus deformities of feet, unspecified foot"""
Q66.31,"""Other congenital varus deformities of feet, right foot"""
Q66.32,"""Other congenital varus deformities of feet, left foot"""
Q66.40,"""Congenital talipes calcaneovalgus, unspecified foot"""
Q66.41,"""Congenital talipes calcaneovalgus, right foot"""
Q66.42,"""Congenital talipes calcaneovalgus, left foot"""
Q66.50,"""Congenital pes planus, unspecified foot"""
Q66.51,"""Congenital pes planus, right foot"""
Q66.52,"""Congenital pes planus, left foot"""
Q66.6,Other congenital valgus deformities of feet
Q66.70,"""Congenital pes cavus, unspecified foot"""
Q66.71,"""Congenital pes cavus, right foot"""
Q66.72,"""Congenital pes cavus, left foot"""
Q66.80,"""Congenital vertical talus deformity, unspecified foot"""
Q66.81,"""Congenital vertical talus deformity, right foot"""
Q66.82,"""Congenital vertical talus deformity, left foot"""
Q66.89,Other specified congenital deformities of feet
Q66.90,"""Congenital deformity of feet, unspecified, unspecified foot"""
